"","Date","EpisodeDateCases","ReportedDateCases","Deaths"
"1",2020-01-15,0,0,0
"2",2020-01-16,0,0,0
"3",2020-01-17,0,0,0
"4",2020-01-18,0,0,0
"5",2020-01-19,0,0,0
"6",2020-01-20,0,0,0
"7",2020-01-21,0,0,0
"8",2020-01-22,0,0,0
"9",2020-01-23,0,0,0
"10",2020-01-24,0,0,0
"11",2020-01-25,0,0,0
"12",2020-01-26,0,0,0
"13",2020-01-27,0,0,0
"14",2020-01-28,0,0,0
"15",2020-01-29,0,0,0
"16",2020-01-30,0,0,0
"17",2020-01-31,0,0,0
"18",2020-02-01,0,0,0
"19",2020-02-02,0,0,0
"20",2020-02-03,0,0,0
"21",2020-02-04,0,0,0
"22",2020-02-05,0,0,0
"23",2020-02-06,0,0,0
"24",2020-02-07,0,0,0
"25",2020-02-08,0,0,0
"26",2020-02-09,0,0,0
"27",2020-02-10,1,0,0
"28",2020-02-11,0,0,0
"29",2020-02-12,0,0,0
"30",2020-02-13,0,0,0
"31",2020-02-14,0,0,0
"32",2020-02-15,0,0,0
"33",2020-02-16,0,0,0
"34",2020-02-17,0,0,0
"35",2020-02-18,0,0,0
"36",2020-02-19,0,0,0
"37",2020-02-20,1,0,0
"38",2020-02-21,0,0,0
"39",2020-02-22,1,0,0
"40",2020-02-23,1,0,0
"41",2020-02-24,1,0,0
"42",2020-02-25,0,0,0
"43",2020-02-26,0,0,0
"44",2020-02-27,0,0,0
"45",2020-02-28,0,0,0
"46",2020-02-29,0,0,0
"47",2020-03-01,2,0,0
"48",2020-03-02,3,0,0
"49",2020-03-03,1,0,0
"50",2020-03-04,1,0,0
"51",2020-03-05,6,0,0
"52",2020-03-06,5,0,0
"53",2020-03-07,4,0,0
"54",2020-03-08,9,0,0
"55",2020-03-09,9,1,0
"56",2020-03-10,7,0,0
"57",2020-03-11,9,0,0
"58",2020-03-12,14,3,0
"59",2020-03-13,22,1,0
"60",2020-03-14,18,4,0
"61",2020-03-15,27,4,0
"62",2020-03-16,15,0,0
"63",2020-03-17,22,5,0
"64",2020-03-18,16,4,0
"65",2020-03-19,25,1,0
"66",2020-03-20,21,2,0
"67",2020-03-21,20,4,0
"68",2020-03-22,26,7,0
"69",2020-03-23,21,9,0
"70",2020-03-24,17,8,1
"71",2020-03-25,23,8,0
"72",2020-03-26,14,19,0
"73",2020-03-27,17,27,0
"74",2020-03-28,24,26,1
"75",2020-03-29,19,9,0
"76",2020-03-30,23,48,1
"77",2020-03-31,17,51,0
"78",2020-04-01,28,36,0
"79",2020-04-02,16,32,2
"80",2020-04-03,26,26,0
"81",2020-04-04,19,18,1
"82",2020-04-05,25,40,2
"83",2020-04-06,17,40,1
"84",2020-04-07,24,25,0
"85",2020-04-08,20,26,2
"86",2020-04-09,33,25,0
"87",2020-04-10,32,37,0
"88",2020-04-11,45,31,0
"89",2020-04-12,35,35,3
"90",2020-04-13,24,16,3
"91",2020-04-14,33,32,2
"92",2020-04-15,29,60,5
"93",2020-04-16,59,21,0
"94",2020-04-17,42,72,2
"95",2020-04-18,40,31,5
"96",2020-04-19,17,38,4
"97",2020-04-20,52,16,4
"98",2020-04-21,36,51,8
"99",2020-04-22,46,35,7
"100",2020-04-23,42,50,3
"101",2020-04-24,38,38,8
"102",2020-04-25,96,53,10
"103",2020-04-26,59,88,9
"104",2020-04-27,63,87,7
"105",2020-04-28,19,65,9
"106",2020-04-29,26,29,7
"107",2020-04-30,18,30,12
"108",2020-05-01,26,42,12
"109",2020-05-02,25,22,4
"110",2020-05-03,20,23,8
"111",2020-05-04,13,14,8
"112",2020-05-05,28,29,3
"113",2020-05-06,18,23,6
"114",2020-05-07,24,32,6
"115",2020-05-08,13,17,6
"116",2020-05-09,16,12,5
