"","Date","EpisodeDateCases","ReportedDateCases","Deaths"
"1",2020-01-15,0,0,0
"2",2020-01-16,0,0,0
"3",2020-01-17,0,0,0
"4",2020-01-18,0,0,0
"5",2020-01-19,0,0,0
"6",2020-01-20,0,0,0
"7",2020-01-21,0,0,0
"8",2020-01-22,0,0,0
"9",2020-01-23,0,0,0
"10",2020-01-24,0,0,0
"11",2020-01-25,0,0,0
"12",2020-01-26,0,0,0
"13",2020-01-27,0,0,0
"14",2020-01-28,0,0,0
"15",2020-01-29,0,0,0
"16",2020-01-30,0,0,0
"17",2020-01-31,0,0,0
"18",2020-02-01,0,0,0
"19",2020-02-02,0,0,0
"20",2020-02-03,0,0,0
"21",2020-02-04,0,0,0
"22",2020-02-05,0,0,0
"23",2020-02-06,0,0,0
"24",2020-02-07,0,0,0
"25",2020-02-08,0,0,0
"26",2020-02-09,0,0,0
"27",2020-02-10,0,0,0
"28",2020-02-11,0,0,0
"29",2020-02-12,0,0,0
"30",2020-02-13,0,0,0
"31",2020-02-14,0,0,0
"32",2020-02-15,0,0,0
"33",2020-02-16,0,0,0
"34",2020-02-17,0,0,0
"35",2020-02-18,0,0,0
"36",2020-02-19,0,0,0
"37",2020-02-20,0,0,0
"38",2020-02-21,0,0,0
"39",2020-02-22,0,0,0
"40",2020-02-23,0,0,0
"41",2020-02-24,1,0,0
"42",2020-02-25,1,0,0
"43",2020-02-26,0,0,0
"44",2020-02-27,0,0,0
"45",2020-02-28,2,0,0
"46",2020-02-29,2,0,0
"47",2020-03-01,1,0,0
"48",2020-03-02,1,0,0
"49",2020-03-03,1,0,0
"50",2020-03-04,1,0,0
"51",2020-03-05,1,2,0
"52",2020-03-06,1,0,0
"53",2020-03-07,5,0,0
"54",2020-03-08,5,0,0
"55",2020-03-09,7,2,0
"56",2020-03-10,7,0,0
"57",2020-03-11,8,2,0
"58",2020-03-12,17,1,0
"59",2020-03-13,11,4,0
"60",2020-03-14,8,2,0
"61",2020-03-15,12,4,0
"62",2020-03-16,27,4,0
"63",2020-03-17,30,4,0
"64",2020-03-18,23,2,0
"65",2020-03-19,23,3,0
"66",2020-03-20,54,7,0
"67",2020-03-21,31,1,0
"68",2020-03-22,23,0,0
"69",2020-03-23,33,11,0
"70",2020-03-24,37,18,0
"71",2020-03-25,32,12,0
"72",2020-03-26,30,29,1
"73",2020-03-27,43,43,1
"74",2020-03-28,43,27,0
"75",2020-03-29,45,31,0
"76",2020-03-30,61,74,0
"77",2020-03-31,42,23,0
"78",2020-04-01,71,52,0
"79",2020-04-02,60,65,1
"80",2020-04-03,68,36,1
"81",2020-04-04,71,34,5
"82",2020-04-05,39,99,2
"83",2020-04-06,84,51,3
"84",2020-04-07,81,55,1
"85",2020-04-08,69,91,2
"86",2020-04-09,66,49,2
"87",2020-04-10,84,59,1
"88",2020-04-11,59,78,0
"89",2020-04-12,80,49,9
"90",2020-04-13,105,80,5
"91",2020-04-14,95,74,3
"92",2020-04-15,107,63,6
"93",2020-04-16,100,56,5
"94",2020-04-17,104,78,7
"95",2020-04-18,120,188,6
"96",2020-04-19,77,149,3
"97",2020-04-20,80,80,8
"98",2020-04-21,63,91,6
"99",2020-04-22,51,85,7
"100",2020-04-23,76,62,7
"101",2020-04-24,70,54,6
"102",2020-04-25,60,90,9
"103",2020-04-26,59,37,6
"104",2020-04-27,50,50,11
"105",2020-04-28,49,59,6
"106",2020-04-29,51,59,10
"107",2020-04-30,54,44,13
"108",2020-05-01,94,94,8
"109",2020-05-02,61,60,10
"110",2020-05-03,43,57,11
"111",2020-05-04,57,38,5
"112",2020-05-05,61,69,6
"113",2020-05-06,55,70,9
"114",2020-05-07,60,58,8
"115",2020-05-08,62,49,7
"116",2020-05-09,69,72,8
